Dep,Tof,Nr,DV_t,T_viol,a2,a4,a6,G2,G3,Range
8130,900,1,5.83444297896877,73.824450416649,0.00108571100136642,0.00347660019317959,0.00227396286138017,6.24501744251218e-05,2.55384116219399,0.767944870877505
8130,920,1,5.83187695859725,78.6504401864364,0.00106063026235885,0.00333452911345552,0.00167367395040879,4.76559995606957e-05,2.8214166435585,0.767944870877505
8130,940,1,5.83115647419772,82.8199929071051,0.0010328360661682,0.00331408134434669,0.00112810559398166,4.22205707863079e-05,3.22707536835663,0.767944870877505
8130,960,1,5.83238997090803,86.4242048337809,0.00100386964553822,0.00338039530844179,0.000650323295634863,4.65540864138409e-05,3.60385627542646,0.767944870877505
8130,980,1,5.83827993625327,89.5020366709875,0.000973084449616342,0.00353678554866431,0.000232983858015553,-6.09043689592008e-05,0.692249200002595,0.758395057891949
8130,1000,1,5.84049363655303,92.3637687728569,0.000946015311847881,0.00366346336128762,-9.59303943921543e-05,-6.85436885877029e-05,0.821719659782568,0.767944870877505
8145,900,1,5.81855331496663,81.4041857569614,0.00113088473670817,0.00233537515255917,0.00162374608039176,3.46266997765122e-05,2.77673026669764,0.767944870877505
8145,920,1,5.81763630984163,85.6908704852614,0.00109765678462168,0.00231527389774947,0.00108896852012056,-2.4652355568287e-05,0.199781652248568,0.767944870877505
8145,940,1,5.85128052976593,89.431505669279,0.00107359200071407,0.00236747678441713,0.000605198409846699,-2.83323314715085e-05,0.839850342605748,0.416291534485224
8145,960,1,5.82105196268546,92.75838058721,0.0010280828718598,0.00253666630203201,0.000214073621565248,4.13724662195489e-05,4.28150546835627,0.767944870877505
8145,980,1,5.82546907636833,95.717749932338,0.000993824438910538,0.00272265175951067,-0.000123711376208293,-5.52281761829358e-05,1.25065622526937,0.767944870877505
8145,1000,1,5.84889415594515,98.1854905716555,0.000962035577008409,0.00293370692925332,-0.000400550254947086,-6.88918259366163e-05,1.28930338791089,0.54753898615901
8160,900,1,5.81384309523436,88.5704387682986,0.00115207595519075,0.00132532019184112,0.000813742701633683,2.9165086520411e-06,3.36485295412671,0.750392814125488
8160,920,1,5.80995782194728,92.5655618533066,0.00112563993028001,0.00138255047608272,0.000311424782494027,-1.69020033808942e-05,1.78022870936707,0.767944870877505
8160,940,1,5.81180712225157,96.0861069457653,0.00108467784840038,0.00152823121945375,-7.66463705331159e-05,3.294079622462e-05,5.01326851524183,0.767944870877505
8160,960,1,5.81604569613887,99.0337172597121,0.00104491665442868,0.00172461165476786,-0.000402168455522721,4.80123204954933e-05,4.99413855944595,0.767944870877505
8160,980,1,5.8219735828882,101.711665095281,0.00100647457673765,0.00195207749085933,-0.000668780005555373,-6.1987799848566e-05,1.81084906300309,0.767944870877505
8160,1000,1,5.8298880833964,104.103291800779,0.000969699674148689,0.00219680667388232,-0.00088313679964115,7.49959359688654e-05,4.90424223023034,0.767944870877505
8175,900,1,5.80881231997619,96.0708591360253,0.00119113237359741,0.000436000667819837,-0.000290008367963872,-2.60021558280473e-05,2.90316855707689,0.689725896199381
8175,920,1,5.80606063523459,99.6408923638514,0.00114439653931329,0.000556626285631513,-0.00066467973212312,-4.00692440842655e-05,2.67210357944745,0.762394339204007
8175,940,1,5.81064628324662,102.773611604272,0.00109716716300556,0.00075144345283157,-0.000962190874676974,-5.35621523263921e-05,2.50679014865349,0.76794487086034
8175,960,1,5.81583363952707,105.579374284488,0.0010534227696971,0.000976496836893335,-0.00121193623906825,-6.59053231506572e-05,2.38866779672584,0.767944870877505
8175,980,1,5.82291769981169,108.098289940777,0.00101173933592253,0.00122596494863179,-0.00141054324623734,-7.73958111686087e-05,2.28821327469683,0.767944870877505
8175,1000,1,5.83174254575708,110.469530657755,0.000972101116902876,0.0014893480725085,-0.00156423763826532,-8.81544195512876e-05,2.19883087372851,0.767944870877505
8190,900,1,5.80801307231037,103.840260631527,0.00120104204562985,-0.000260928707503978,-0.00151970050770725,-5.85914537418355e-05,3.13578267818734,0.706195001884489
8190,920,1,5.80889271617554,107.081546030531,0.00114634634278601,-0.000107350570420501,-0.00180678110501528,7.07230406966451e-05,6.13742002754473,0.701795666807895
8190,940,1,5.81119319976935,110.023826331234,0.00109932451109196,0.000101975117722089,-0.00204219989062012,-8.12593256389304e-05,2.87081900113258,0.767944870877505
8190,960,1,5.8176104612644,112.56587608238,0.00105283453030143,0.000336815459824172,-0.00222478390339735,-9.09686927108513e-05,2.76242063691994,0.767944870877505
8190,980,1,5.82547321737953,115.045911747564,0.0010089215317637,0.000592194577262947,-0.00236327537767651,-9.98423431373912e-05,2.66283148434434,0.767944870877505
8190,1000,1,5.8256377091549,117.734509259586,0.000965105103414295,0.000857690588317661,-0.00246318738460711,0.000107776704899706,5.71073966677154,0.767944870877505
8205,900,1,5.80677766478079,111.813952083491,0.00119876912022399,-0.000739197423500058,-0.00292177248948613,9.27126737926248e-05,0.172128181664041,0.767944870877505
8205,920,1,5.80911195472553,114.895363804759,0.00114254429609558,-0.00057040646312028,-0.00313971612169827,0.000103442000132654,0.0768932056803296,0.767944870877505
8205,940,1,5.81540873413246,117.489912582563,0.00108488421810106,-0.000367690585997097,-0.00328762185065075,-0.0001132351315533,3.12260343404876,0.767944870877505
8205,960,1,5.82097519020668,120.078440172422,0.00104265986814343,-0.00013667061741236,-0.00343806607406859,-0.000120500729411884,3.04260396648936,0.767944870877505
8205,980,1,5.81954681115727,122.762982405401,0.000995103012696564,0.000109319563680523,-0.00352689115722791,-0.000127090210547631,2.95843030505602,0.767944870877505
