TDRS Orbit Determination

341 measurements read from tracking data file

Iteration 1

    Date         UTC        Sta   TDRS    obs [km]   comp [km]     o-c [m]
 1999/09/01  05:43: 1.000   162     5   76242.1796  76241.3787    800.90
 1999/09/01  05:43:31.000   162     5   76263.0810  76262.0817    999.30
 1999/09/01  05:44: 1.000   162     5   76291.5593  76290.3633   1195.96
 1999/09/01  05:44:31.000   162     5   76327.5749  76326.1875   1387.38
 1999/09/01  05:45: 1.000   162     5   76371.0872  76369.5059   1581.32
 1999/09/01  08:09: 1.000   161     4   76907.5029  76904.8869   2616.02
 1999/09/01  08:09:31.000   161     4   76975.2622  76972.4072   2854.98
 1999/09/01  08:10: 1.000   161     4   77049.5331  77046.4378   3095.33
 1999/09/01  08:10:31.000   161     4   77130.2047  77126.8802   3324.48
 1999/09/01  08:11: 1.000   161     4   77217.1847  77213.6271   3557.63
 1999/09/01  08:11:31.000   161     4   77310.3383  77306.5620   3776.32
 1999/09/01  08:12: 1.000   161     4   77409.5598  77405.5601   3999.69
 1999/09/01  08:12:31.000   161     4   77514.6974  77510.4885   4208.87
 1999/09/01  08:13: 1.000   161     4   77625.6252  77621.2065   4418.66
 1999/09/01  08:13:31.000   161     4   77742.1862  77737.5662   4620.03
 1999/09/01  08:14: 1.000   161     4   77864.2275  77859.4125   4814.99
 1999/09/01  08:14:31.000   161     4   77991.5922  77986.5842   5008.00
 1999/09/01  08:15: 1.000   161     4   78124.1042  78118.9139   5190.35
 1999/09/01  08:15:31.000   161     4   78261.5946  78256.2284   5366.15
 1999/09/01  08:16: 1.000   161     4   78403.8862  78398.3498   5536.38
 1999/09/01  08:16:31.000   161     4   78550.7959  78545.0951   5700.81
 1999/09/01  08:17: 1.000   161     4   78702.1354  78696.2771   5858.34
 1999/09/01  08:17:31.000   161     4   78857.7117  78851.7047   6007.03
 1999/09/01  08:18: 1.000   161     4   79017.3315  79011.1834   6148.06
 1999/09/01  08:18:31.000   161     4   79180.7986  79174.5158   6282.77
 1999/09/01  08:19: 1.000   161     4   79347.9110  79341.5017   6409.34
 1999/09/01  08:19:31.000   161     4   79518.4673  79511.9388   6528.52
 1999/09/01  08:20: 1.000   161     4   79692.2618  79685.6224   6639.35
 1999/09/01  08:20:31.000   161     4   79869.0881  79862.3472   6740.94
 1999/09/01  08:21:31.000   161     4   80231.0188  80224.0913   6927.45
 1999/09/01  08:22: 1.000   161     4   80415.7045  80408.6950   7009.51
 1999/09/01  08:22:31.000   161     4   80602.5891  80595.5086   7080.46
 1999/09/01  08:23: 1.000   161     4   80791.4709  80784.3241   7146.79
 1999/09/01  09:38: 1.000   161     4   76318.5710  76322.8280  -4257.02
 1999/09/01  09:38:31.000   161     4   76221.8221  76225.7565  -3934.41
 1999/09/01  09:39: 1.000   161     4   76132.1855  76135.8172  -3631.67
 1999/09/01  09:39:31.000   161     4   76049.8567  76053.1593  -3302.62
 1999/09/01  09:40: 1.000   161     4   75974.9429  75977.9218  -2978.92
 1999/09/01  09:40:31.000   161     4   75907.5859  75910.2325  -2646.64
 1999/09/01  09:41: 1.000   161     4   75847.9058  75850.2079  -2302.08
 1999/09/01  09:41:31.000   161     4   75795.9902  75797.9523  -1962.13
 1999/09/01  09:42: 1.000   161     4   75751.9390  75753.5581  -1619.07
 1999/09/01  09:42:31.000   161     4   75715.8348  75717.1046  -1269.76
 1999/09/01  09:43: 1.000   161     4   75687.7423  75688.6583   -915.97
 1999/09/01  09:43:31.000   161     4   75667.7193  75668.2724   -553.08
 1999/09/01  09:44: 1.000   161     4   75655.7825  75655.9866   -204.07
 1999/09/01  09:44:31.000   161     4   75651.9756  75651.8269    148.74
 1999/09/01  09:45: 1.000   161     4   75656.3101  75655.8055    504.63
 1999/09/01  09:45:31.000   161     4   75668.7813  75667.9208    860.52
 1999/09/01  09:46: 1.000   161     4   75689.3730  75688.1573   1215.68
 1999/09/01  10:50: 1.000   162     5   78395.3030  78391.6826   3620.45
 1999/09/01  10:50:31.000   162     5   78472.5842  78468.7294   3854.84
 1999/09/01  10:51: 1.000   162     5   78554.3157  78550.2305   4085.22
 1999/09/01  10:51:31.000   162     5   78640.3788  78636.0669   4311.91
 1999/09/01  10:52: 1.000   162     5   78730.6457  78726.1153   4530.36
 1999/09/01  10:52:31.000   162     5   78824.9886  78820.2486   4739.97
 1999/09/01  10:53: 1.000   162     5   78923.2819  78918.3359   4945.98
