Dep,Tof,Nr,Var4,Var5,a2,a4,a6,G2,G3,Range
7700,900,1,61.995031208968,252.131476644762,0.0975678323471843,-0.348385333257536,0.1405577124302,-0.00180657374590363,3.78366611273759,0.767944870877505
7700,1000,1,64.9899480082389,202.599373434582,0.0925108460215746,-0.343662875839107,0.128803827289254,-0.00181250512074078,3.70280423332124,0.71069638435798
7700,1100,1,68.2709758556953,172.689327743034,0.0936575539290024,-0.353973648123738,0.103323651544237,0.00088647131922812,0.635735591640658,0.767944870877505
7700,1200,1,65.6046116416136,36.189246076011,0.0976269706046433,-0.38672889253928,0.109048582558702,-0.00193117340917167,3.65222120874642,0.650156807658157
7700,1300,1,74.2318047837969,229.485171542328,0.0627380248422409,-0.271220095959748,0.0381174461560639,-0.000448086807750566,2.51726551400082,0.663297671938072
7700,1400,1,57.3950359919856,2.08108890498586,0.0236786086472235,-0.158641818987568,-0.0177627857488546,0.00158706014395774,6.28318530717959,0.767944870877505
7700,1500,1,124.277740825864,128.143688192194,-0.0198603430656459,-0.104059274651268,-0.0471202682987549,-3.43154819737413e-05,3.03837461654505,0.513333241810317
7700,1600,1,61.5285534556119,9.90108520535173,0.0314761819606685,-0.127354127108169,0.0630038059268242,-0.00144791937077801,3.14915537751351,0.767944870877505
7700,1700,1,64.5986230221078,30.384027244958,0.00699277492113213,-0.0966478878818782,0.0227993545604141,0.00135973462853891,0.146085604756851,0.697478851641545
7700,1800,1,67.5389783427284,44.0659613527814,0.0249496869139851,-0.126721088233892,0.039433787136869,-0.00114452387181586,2.84925779083272,0.630488711329134
7700,1900,1,65.6326213216698,5.85911199056994,-0.000338091924077288,-0.0838943535540485,0.0111251953687453,0.00161218074792465,0.406456593166354,0.767938300877505
7700,2000,1,66.6969675331815,23.7790452745624,0.0229750333566438,-0.124494589305377,0.0269116261128917,0.000742002567050044,0,0.767944870877505
7800,900,1,64.625291442578,287.592365838222,0.114643845093706,-0.406513603988866,0.121023122511457,-0.00186069767032538,3.92826445098018,0.767944870877505
7800,1000,1,65.9513668929967,195.075112255481,0.111005004525787,-0.410301132733994,0.106097434123721,0.00189495672108361,0.744192742280018,0.767944870877505
7800,1100,1,66.9287752617098,76.177838751191,0.102091637239369,-0.401356229279198,0.0797060416854349,0.00190518283842279,0.68737749559212,0.767944870877505
7800,1200,1,58.1074921791636,16.8598738165219,0.0915025201189418,-0.372001535790481,0.0387866562998477,0.00148791419727195,0.424254999860092,0.767944870877505
7800,1300,1,69.7371301431338,0.219678548484481,0.0379278130301016,-0.194367168584119,-0.033951354990891,-0.00030179275927761,2.51300934011156,0.743998558432507
7800,1400,1,93.8532402435742,299.167653573739,-0.0147871915206454,-0.056924968151505,-0.0203201823747627,-0.00110534428629852,4.33237386204349,0.623674991949953
7800,1500,1,64.236017337972,23.6685130317227,0.0290816666918348,-0.132315489369339,0.0525137227873328,0.00108277707667986,0,0.753802761126704
7800,1600,1,66.5584801956398,2.45741727237956,0.0235735543223986,-0.11245929087577,0.0575051749721314,-0.00103936989489234,3.24733365381504,0.718374648217996
7800,1700,1,66.2119175052877,0.13782327537406,0.0175326900018105,-0.104038833884112,0.0489437222706302,-0.00104589205032929,3.23692774022138,0.767944870877505
7800,1800,1,69.3280320103738,39.1278493460653,0.0286448716499861,-0.128997771517951,0.052549422561506,0.000567759131071222,0.168496314063412,0.671397427986512
