Dep,Tof,Nr,DV,T_viol,a2,a4,a6,G2,G3,Range
7700,900,1,72.0316662440635,252.494385352268,0.0974715259557725,-0.348328803967677,0.140345832012604,-0.00180905005828336,3.78522664187407,0.769690187972087
7700,1000,1,70.5545182882378,182.332854185036,0.0975455136015222,-0.358343380429273,0.134615305882698,-0.00185159796045675,3.75173048951844,0.769299997984227
7700,1100,1,68.1424177063379,90.894188485932,0.0952471757418097,-0.364229690889207,0.121900962045884,0.00188332079760537,0.567569916218374,0.769690187689241
7700,1200,1,64.7629744042803,24.8564341757291,0.0984878795199559,-0.38865328294286,0.116577355896587,-0.00196598166694904,3.5105046980551,0.671156053528185
7700,1300,1,55.6740214832954,2.59737849006569e-05,0.0627863929484204,-0.292289625279349,0.0484734543134083,-0.00174996611055821,3.45812704493273,0.767497452923364
7700,1400,1,57.2154495957411,1.9396804873395e-05,0.0244625988575534,-0.15913881886607,-0.0193426144113025,0.00156427894803469,6.28318530687376,0.767944737143672
7700,1500,1,66.157440409555,0.000280269100727537,-0.00480562879579222,-0.0704363572499472,-0.0118303485771061,-0.00143444928252648,3.58347427026073,0.766153142823373
7700,1600,1,61.4205063289243,5.85869130986794e-08,0.0322144636268194,-0.127435737340673,0.0653056431022392,-0.00153637041807017,3.08831325884513,0.764665374961744
7700,1700,1,62.9309738997881,7.61671898885652e-06,0.0188290251839145,-0.112088762979162,0.0433265122435008,0.00133433051400075,0.120229354599715,0.765208121149193
7700,1800,1,63.5771735187026,5.48652339560363e-05,0.013870078784643,-0.106155769247495,0.0346356039206622,-0.001302386516712,3.2911044438231,0.765094785162093
7700,1900,1,63.9447951186123,1.80471531052717e-06,0.00903687796481776,-0.0992736520921074,0.0270637210865695,0.00130448751785478,0.221648649889365,0.765291606354114
7700,2000,1,64.1512246925495,7.95258330299475e-06,0.00599996703123685,-0.0946032895129433,0.0223668305648923,0.00133752219188141,0.254596046928127,0.765430410824101
7800,900,1,76.0573746544282,288.183020909136,0.114302382561887,-0.406028577214858,0.120345558084641,-0.00186509361938583,3.93032415195949,0.769690149205715
7800,1000,1,73.6171960428077,193.794163745831,0.111218286962233,-0.411012466226827,0.106171954727751,0.00189774022593087,0.745567409898557,0.769690148238563
7800,1100,1,69.9052780930646,75.9533350239803,0.102283146891601,-0.401926263641117,0.0797543746430173,0.00190498912126736,0.688363571975889,0.769690197989111
7800,1200,1,57.4014823515392,1.18078681055067e-05,0.0838669343442299,-0.359438702782568,0.037865080546355,0.00175399302678803,0.491526384704505,0.767810641754209
7800,1300,1,58.8455711999835,1.76072969537699e-06,0.0275075321912665,-0.172575425939693,-0.0262584572835712,-0.00145641534027746,3.46135516736256,0.76660095757692
